id,NAME,price,image_link,link_OLD,brand,title,description,inventory,availability,condition,link_OLD2,link,link_param
6212128431,IPASON iGame GeForce RTX 3060 Ti Ultra OC Graphics Card RTX 3060Ti 8GB GDDR6 256Bit Graphics Card LHR-V,42999,https://ph-live-01.slatic.net/p/0c7ba12854c8a791e1ba153ef915ac12.jpg,https://shope.ee/7pNKrVdR45,No Brand,Ipason Igame Geforce Rtx 3060 Ti Ultra Oc Graphics Card Rtx 3060Ti 8Gb Gddr6 256Bit Graphics Card Lhr-V,Ipason Igame Geforce Rtx 3060 Ti Ultra Oc Graphics Card Rtx 3060Ti 8Gb Gddr6 256Bit Graphics Card Lhr-V,100,in stock,new,https://shope.ee/5V49vEXIqn,https://shopee.ph/universal-link/zifriend.pc,https://shopee.ph/universal-link/zifriend.pc?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
6596654645,GALAX GeForce RTX™ 3090 SG (1-Click OC) 24GB GDDR6X 384-bit DP*3/HDMI/,42999,https://ph-live-01.slatic.net/p/26591ead5c542a9f14a368c589e83815.png,https://shope.ee/8Ud1ejagvR,No Brand,Galax Geforce Rtx™ 3090 Sg (1-Click Oc) 24Gb Gddr6X 384-Bit Dp*3/Hdmi/,Galax Geforce Rtx™ 3090 Sg (1-Click Oc) 24Gb Gddr6X 384-Bit Dp*3/Hdmi/,100,in stock,new,https://shope.ee/fyuALcdpo,https://shopee.ph/universal-link/eonpc14,https://shopee.ph/universal-link/eonpc14?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
6667380978,PALIT GeForce RTX 3070 Gaming Pro 8GB LHR (LITE HASH RATE) Graphics Card (NE63070019P2-1041A-V1),44995,https://ph-live-01.slatic.net/p/00042d85f853e4ac9ae184a5d3e26f0c.jpg,https://shope.ee/10X0ixBuBZ,No Brand,Palit Geforce Rtx 3070 Gaming Pro 8Gb Lhr (Lite Hash Rate) Graphics Card (Ne63070019P2-1041A-V1),Palit Geforce Rtx 3070 Gaming Pro 8Gb Lhr (Lite Hash Rate) Graphics Card (Ne63070019P2-1041A-V1),100,in stock,new,https://shope.ee/2Anhx6SbGr,https://shopee.ph/universal-link/gilmorepccenter,https://shopee.ph/universal-link/gilmorepccenter?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
6694724462,MAXSUN AMD Radeon RX 550 4GB GDDR5 Computer PC Gaming Video Graphics Card GPU,6999,https://my-live-02.slatic.net/p/cbeb10e0c2ee6c0294405d0672369598.jpg,https://shope.ee/8KJbSQbKGO,No Brand,Maxsun Amd Radeon Rx 550 4Gb Gddr5 Computer Pc Gaming Video Graphics Card Gpu,Maxsun Amd Radeon Rx 550 4Gb Gddr5 Computer Pc Gaming Video Graphics Card Gpu,100,in stock,new,https://shope.ee/507tKJDHDK,https://shopee.ph/universal-link/x_computer.accessories,https://shopee.ph/universal-link/x_computer.accessories?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
6758082472,Gigabyte AORUS GeForce RTX 3070 MASTER 8G Graphics Card (GV-N3070AORUS M-8GD),67995,https://ph-live-01.slatic.net/p/4923f096f7d7b78d5097659f3941be9a.png,https://shope.ee/4AU2Um4aqw,No Brand,Gigabyte Aorus Geforce Rtx 3070 Master 8G Graphics Card (Gv-N3070Aorus M-8Gd),Gigabyte Aorus Geforce Rtx 3070 Master 8G Graphics Card (Gv-N3070Aorus M-8Gd),100,in stock,new,https://shope.ee/4fV2vhIsPU,https://shopee.ph/universal-link/wifixcomputerit,https://shopee.ph/universal-link/wifixcomputerit?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
6864866840,4GB DDR5 Nvidia GeForce GTX1050Ti COLORFUL Gaming 128 BIT Graphics Card,11995,https://ph-live-01.slatic.net/p/6d58c7a8865bed207ad022b441f18ac8.png,https://shope.ee/30I56dLtFx,No Brand,4Gb Ddr5 Nvidia Geforce Gtx1050Ti Colorful Gaming 128 Bit Graphics Card,4Gb Ddr5 Nvidia Geforce Gtx1050Ti Colorful Gaming 128 Bit Graphics Card,100,in stock,new,https://shope.ee/30MowdTgpu,https://shopee.ph/universal-link/fixit.ph,https://shopee.ph/universal-link/fixit.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
6921142861,GIGABYTE GeForce RTX 3090 VISION OC 24GB GV-N3090VISION OC-24GD 3DirectX 1284-Bit GDDR6X PCI Express 4.0 x16 SLI Support ATX Video Card,11995,https://ph-live-01.slatic.net/p/ca23c306ed835415bc7a16d91a2fa66d.jpg,https://shope.ee/30I56dLtFx,No Brand,Gigabyte Geforce Rtx 3090 Vision Oc 24Gb Gv-N3090Vision Oc-24Gd 3Directx 1284-Bit Gddr6X Pci Express 4.0 X16 Sli Support Atx Video Card,Gigabyte Geforce Rtx 3090 Vision Oc 24Gb Gv-N3090Vision Oc-24Gd 3Directx 1284-Bit Gddr6X Pci Express 4.0 X16 Sli Support Atx Video Card,100,in stock,new,https://shope.ee/30MowdTgpu,https://shopee.ph/universal-link/fixit.ph,https://shopee.ph/universal-link/fixit.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7011566776,ASUS GeForce GT 1030 2GB GDDR5 GT1030 low profile graphics card for silent HTPC build (with I/O port brackets),4499,https://ph-live-01.slatic.net/p/6b45053f85f79ffb923fa00e2458e636.jpg,https://shope.ee/3fXltr6Z85,No Brand,Asus Geforce Gt 1030 2Gb Gddr5 Gt1030 Low Profile Graphics Card For Silent Htpc Build (With I/O Port Brackets),Asus Geforce Gt 1030 2Gb Gddr5 Gt1030 Low Profile Graphics Card For Silent Htpc Build (With I/O Port Brackets),100,in stock,new,https://shope.ee/6pZXVgNtcf,https://shopee.ph/universal-link/rapoo.ca,https://shopee.ph/universal-link/rapoo.ca?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7077184651,Bowens Mount Optical Snoot Conical Focalize Condenser Art Special Effects Shaped Beam Light Cylinder with 16pcs Graphics Cards 8pcs Color Filters Photography Light Accessories,8548,https://my-live.slatic.net/p/d0217d83c0fb1026999b928501180704.jpg,https://shope.ee/AUO62POXYn,No Brand,Bowens Mount Optical Snoot Conical Focalize Condenser Art Special Effects Shaped Beam Light Cylinder With 16Pcs Graphics Cards 8Pcs Color Filters Phot,Bowens Mount Optical Snoot Conical Focalize Condenser Art Special Effects Shaped Beam Light Cylinder With 16Pcs Graphics Cards 8Pcs Color Filters Photograp,100,in stock,new,https://shope.ee/8f1Bh3LNwq,https://shopee.ph/universal-link/lovingpcmemory,https://shopee.ph/universal-link/lovingpcmemory?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7085328535,Gigabyte GeForce GTX 1660 OC Edition 6GB GDDR5 192Bit Graphics Card,22995,https://ph-live-01.slatic.net/p/48f89a4efe501537d08c346dea3658cc.jpg,https://shope.ee/LHJvjNNcv,No Brand,Gigabyte Geforce Gtx 1660 Oc Edition 6Gb Gddr5 192Bit Graphics Card,Gigabyte Geforce Gtx 1660 Oc Edition 6Gb Gddr5 192Bit Graphics Card,100,in stock,new,https://shope.ee/30MowdPDnG,https://shopee.ph/universal-link/mku78q_udv,https://shopee.ph/universal-link/mku78q_udv?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7164690736,Asus GeForce GT 1030 2GB GDDR5 [GT1030-SL-2G-BRK],4795,https://ph-live-01.slatic.net/p/f9060681d5a7b29615c89e674ca70ef3.png,https://shope.ee/8ewRr2Veny,No Brand,Asus Geforce Gt 1030 2Gb Gddr5 [Gt1030-Sl-2G-Brk],Asus Geforce Gt 1030 2Gb Gddr5 [Gt1030-Sl-2G-Brk],100,in stock,new,https://shope.ee/10bkYxO2Hm,https://shopee.ph/universal-link/gameextreme,https://shopee.ph/universal-link/gameextreme?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7293162756,Original XFX R7 R9 370 4GB Video Card AMD Radeon R7 R9 370X 4GB Graphics Screen Cards GPU Desktop PC PCI-E Game Map Videocard,5635,https://my-live-02.slatic.net/p/e132aa31476074c0dbd8008f12dd9b11.jpg,https://shope.ee/30I56d96U1,No Brand,Original Xfx R7 R9 370 4Gb Video Card Amd Radeon R7 R9 370X 4Gb Graphics Screen Cards Gpu Desktop Pc Pci-E Game Map Videocard,Original Xfx R7 R9 370 4Gb Video Card Amd Radeon R7 R9 370X 4Gb Graphics Screen Cards Gpu Desktop Pc Pci-E Game Map Videocard,100,in stock,new,https://shope.ee/1LEaxZaAk4,https://shopee.ph/universal-link/redlai.ph.ph,https://shopee.ph/universal-link/redlai.ph.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7297994537,"Desktop Gaming PC | Intel Core i3 2nd Gen 4GB RAM 320GB HDD 512mb Video Card 300w Power Supply | Tgears R12 CPU Cooler , 1x 120MM RGB FAN | Honeycomb Case | Affordable Gaming PC | TTREND",4999,https://ph-live-01.slatic.net/p/d8c1f6e790c439a535b2fea5a2dd5623.jpg,https://shope.ee/10X0ix7VOz,No Brand,"Desktop Gaming Pc | Intel Core I3 2Nd Gen 4Gb Ram 320Gb Hdd 512Mb Video Card 300W Power Supply | Tgears R12 Cpu Cooler , 1X 120Mm Rgb Fan | Honeycomb","Desktop Gaming Pc | Intel Core I3 2Nd Gen 4Gb Ram 320Gb Hdd 512Mb Video Card 300W Power Supply | Tgears R12 Cpu Cooler , 1X 120Mm Rgb Fan | Honeycomb Case",100,in stock,new,https://shope.ee/6AJqiSddK5,https://shopee.ph/universal-link/qsk.computer,https://shopee.ph/universal-link/qsk.computer?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7365540915,GIGABYTE GEFORCE GTX1650 GDDR6 OC 4GB Graphics Card | GV-N1656OC-4GD,14995,https://ph-live-01.slatic.net/p/29e29f77060c02fb2c761dfa07026a4f.png,https://shope.ee/5fIqHWlkiu,No Brand,Gigabyte Geforce Gtx1650 Gddr6 Oc 4Gb Graphics Card | Gv-N1656Oc-4Gd,Gigabyte Geforce Gtx1650 Gddr6 Oc 4Gb Graphics Card | Gv-N1656Oc-4Gd,100,in stock,new,https://shope.ee/20UHknOd2e,https://shopee.ph/universal-link/phonelaptop.ph,https://shopee.ph/universal-link/phonelaptop.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7401072956,WLLW Top Picks 1800W ATX Modular Mining PC Power Supply Supports 6 Graphics Card 160-240V Power Supply Mining Machine Support,5779,https://my-live-02.slatic.net/p/b3786fda672b785d8e110123faa1a162.jpg,https://shope.ee/30I56dLtFx,No Brand,Wllw Top Picks 1800W Atx Modular Mining Pc Power Supply Supports 6 Graphics Card 160-240V Power Supply Mining Machine Support,Wllw Top Picks 1800W Atx Modular Mining Pc Power Supply Supports 6 Graphics Card 160-240V Power Supply Mining Machine Support,100,in stock,new,https://shope.ee/30MowdTgpu,https://shopee.ph/universal-link/fixit.ph,https://shopee.ph/universal-link/fixit.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7467982377,"Intel Core i5 Desktop Package 4GB RAM, 250GB HDD, 1GB Video Graphic Card, True Rated Power Supply Keytech T850 4xRGB 120mm LED Fans 19"" LCD Monitor Computer TaskForce Enterprises",9999,https://ph-live-01.slatic.net/p/325d983fd9c9f3afd7e356fe47bc98ae.png,https://shope.ee/30I56dLtFx,No Brand,"Intel Core I5 Desktop Package 4Gb Ram, 250Gb Hdd, 1Gb Video Graphic Card, True Rated Power Supply Keytech T850 4Xrgb 120Mm Led Fans 19"" Lcd Monitor Co","Intel Core I5 Desktop Package 4Gb Ram, 250Gb Hdd, 1Gb Video Graphic Card, True Rated Power Supply Keytech T850 4Xrgb 120Mm Led Fans 19"" Lcd Monitor Compute",100,in stock,new,https://shope.ee/30MowdTgpu,https://shopee.ph/universal-link/fixit.ph,https://shopee.ph/universal-link/fixit.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7527838470,Gaming Videocard GTX 1050Ti 4gb 128Bit DDR5,9000,https://ph-live-01.slatic.net/p/aa8daf9feb27bdef252d40959bc8d5fe.jpg,https://shope.ee/3VELhYFaSY,No Brand,Gaming Videocard Gtx 1050Ti 4Gb 128Bit Ddr5,Gaming Videocard Gtx 1050Ti 4Gb 128Bit Ddr5,100,in stock,new,https://shope.ee/7pS4hWK1Kd,https://shopee.ph/universal-link/wu512512,https://shopee.ph/universal-link/wu512512?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7566642122,Colorful iGame GeForce RTX 3060 Ultra W OC 12G LHR-V 1770MHz GDDR6 192bit Graphics Card for 3A Gaming,37999,https://ph-live-01.slatic.net/p/724df4e6b487b908b114a6ea2999192f.png,https://shope.ee/8ewRr2Veny,No Brand,Colorful Igame Geforce Rtx 3060 Ultra W Oc 12G Lhr-V 1770Mhz Gddr6 192Bit Graphics Card For 3A Gaming,Colorful Igame Geforce Rtx 3060 Ultra W Oc 12G Lhr-V 1770Mhz Gddr6 192Bit Graphics Card For 3A Gaming,100,in stock,new,https://shope.ee/10bkYxO2Hm,https://shopee.ph/universal-link/gameextreme,https://shopee.ph/universal-link/gameextreme?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7581760249,Gigabyte GeForce RTX 3060 Gaming OC 12G LHR Graphics Card - GV-N3060GAMING OC-12GD-2.0,37995,https://ph-live-01.slatic.net/p/980de08913478a4687744374a4cd1b04.jpg,https://shope.ee/30I56d96U1,No Brand,Gigabyte Geforce Rtx 3060 Gaming Oc 12G Lhr Graphics Card - Gv-N3060Gaming Oc-12Gd-2.0,Gigabyte Geforce Rtx 3060 Gaming Oc 12G Lhr Graphics Card - Gv-N3060Gaming Oc-12Gd-2.0,100,in stock,new,https://shope.ee/1LEaxZaAk4,https://shopee.ph/universal-link/redlai.ph.ph,https://shopee.ph/universal-link/redlai.ph.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7594457603,GV-N3060GAMING-OC-12GD GIGABYTE GEFORCE RTX3060 GAMING OC 12GB VGA CARD,46999,https://ph-live-01.slatic.net/p/fe69b82b0daf6b1ddd43d779451014a4.png,https://shope.ee/10X0ix7VOz,No Brand,Gv-N3060Gaming-Oc-12Gd Gigabyte Geforce Rtx3060 Gaming Oc 12Gb Vga Card,Gv-N3060Gaming-Oc-12Gd Gigabyte Geforce Rtx3060 Gaming Oc 12Gb Vga Card,100,in stock,new,https://shope.ee/6AJqiSddK5,https://shopee.ph/universal-link/qsk.computer,https://shopee.ph/universal-link/qsk.computer?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7610665636,PALIT RTX 3060 DUAL 12G 192BIT Graphic card - NE63060019K9-190AD,37995,https://ph-live-01.slatic.net/p/708875544de422ffd7122820e84735f7.jpg,https://shope.ee/LHJvjRzCD,No Brand,Palit Rtx 3060 Dual 12G 192Bit Graphic Card - Ne63060019K9-190Ad,Palit Rtx 3060 Dual 12G 192Bit Graphic Card - Ne63060019K9-190Ad,100,in stock,new,https://shope.ee/30MowdY5cU,https://shopee.ph/universal-link/lpjcomputerworld,https://shopee.ph/universal-link/lpjcomputerworld?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7615968005,Msi Geforce RTX™ 3060 VENTUS 3X 12G OC Edition 12GB GDDR6 192-bit NVIDIA Graphics Card / Gaming / Triple Fan,35450,https://ph-live-01.slatic.net/p/09f2ab9340436375c9fadd7ce37d3c25.jpg,https://shope.ee/3fXltr6Z85,No Brand,Msi Geforce Rtx™ 3060 Ventus 3X 12G Oc Edition 12Gb Gddr6 192-Bit Nvidia Graphics Card / Gaming / Triple Fan,Msi Geforce Rtx™ 3060 Ventus 3X 12G Oc Edition 12Gb Gddr6 192-Bit Nvidia Graphics Card / Gaming / Triple Fan,100,in stock,new,https://shope.ee/6pZXVgNtcf,https://shopee.ph/universal-link/rapoo.ca,https://shopee.ph/universal-link/rapoo.ca?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7637892617,GIGABYTE GeForce RTX 3060 EAGLE 12G LHR Graphics Cards - GV-N3060EAGLE-12GD-2.0,36999,https://ph-live-01.slatic.net/p/a60ef1dc18835e66a3341c26216fad92.jpg,https://shope.ee/5039UJ5owb,No Brand,Gigabyte Geforce Rtx 3060 Eagle 12G Lhr Graphics Cards - Gv-N3060Eagle-12Gd-2.0,Gigabyte Geforce Rtx 3060 Eagle 12G Lhr Graphics Cards - Gv-N3060Eagle-12Gd-2.0,100,in stock,new,https://shope.ee/8A4v68NME1,https://shopee.ph/universal-link/pctorresenterprises,https://shopee.ph/universal-link/pctorresenterprises?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
7688738215,"Computer Set, i3, Core i3 3rd Gen, 250gb Storage, 4Gb Ram, ddr 3, 2gb Total Shared Graphics, 512mb / 64bit, PCI-e Graphics Card, Assorted 19 Inch Monitor, Gaming Keyboard and mouse, USB Speaker, AMS TRADING",6499,https://ph-live-01.slatic.net/p/5c5da7566c1959fe447d74c70487b036.jpg,https://shope.ee/6KYX4kaLXk,No Brand,"Computer Set, I3, Core I3 3Rd Gen, 250Gb Storage, 4Gb Ram, Ddr 3, 2Gb Total Shared Graphics, 512Mb / 64Bit, Pci-E Graphics Card, Assorted 19 Inch Moni","Computer Set, I3, Core I3 3Rd Gen, 250Gb Storage, 4Gb Ram, Ddr 3, 2Gb Total Shared Graphics, 512Mb / 64Bit, Pci-E Graphics Card, Assorted 19 Inch Monitor,",100,in stock,new,https://shope.ee/40FM8TCkim,https://shopee.ph/universal-link/zhuoxinfu1.ph,https://shopee.ph/universal-link/zhuoxinfu1.ph?utm_source=an_13345560010&utm_medium=affiliates&utm_campaign=-&utm_content=PCLaptopShopee----
